0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Text_t, "Canon a 2 Super Thema Regium\012"
1, 0, Text_t, "Voce 1  \012"
1, 0, Text_t, "Voce 2  \012"
1, 0, SMPTE_offset, 32, 0, 3, 15, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 363636
1, 67200, Tempo, 363636
1, 67216, Tempo, 364742
1, 67232, Tempo, 365854
1, 67248, Tempo, 366972
1, 67268, Tempo, 368098
1, 67280, Tempo, 369231
1, 67296, Tempo, 370370
1, 67312, Tempo, 371517
1, 67328, Tempo, 372671
1, 67348, Tempo, 373832
1, 67360, Tempo, 375000
1, 67376, Tempo, 376176
1, 67392, Tempo, 377358
1, 67408, Tempo, 378549
1, 67428, Tempo, 379747
1, 67440, Tempo, 380952
1, 67456, Tempo, 382166
1, 67472, Tempo, 383387
1, 67488, Tempo, 384615
1, 67508, Tempo, 385852
1, 67520, Tempo, 387097
1, 67536, Tempo, 388350
1, 67552, Tempo, 389610
1, 67568, Tempo, 390879
1, 67588, Tempo, 392157
1, 67600, Tempo, 393443
1, 67616, Tempo, 394737
1, 67632, Tempo, 396040
1, 67648, Tempo, 397351
1, 67668, Tempo, 398671
1, 67680, Tempo, 400000
1, 67696, Tempo, 401338
1, 67712, Tempo, 402685
1, 67728, Tempo, 404040
1, 67748, Tempo, 405405
1, 67760, Tempo, 406780
1, 67776, Tempo, 408163
1, 67792, Tempo, 409556
1, 67808, Tempo, 410959
1, 67828, Tempo, 412371
1, 67840, Tempo, 413793
1, 67856, Tempo, 415225
1, 67872, Tempo, 416667
1, 67888, Tempo, 418118
1, 67908, Tempo, 419580
1, 67920, Tempo, 421053
1, 67936, Tempo, 422535
1, 67952, Tempo, 424028
1, 67968, Tempo, 425532
1, 67988, Tempo, 427046
1, 68000, Tempo, 428571
1, 68016, Tempo, 430108
1, 68032, Tempo, 431655
1, 68048, Tempo, 433213
1, 68068, Tempo, 434783
1, 68080, Tempo, 436364
1, 68096, Tempo, 437956
1, 68112, Tempo, 439560
1, 68128, Tempo, 441176
1, 68148, Tempo, 442804
1, 68160, Tempo, 444444
1, 68176, Tempo, 446097
1, 68192, Tempo, 447761
1, 68208, Tempo, 449438
1, 68228, Tempo, 451128
1, 68240, Tempo, 452830
1, 68256, Tempo, 454545
1, 68272, Tempo, 456274
1, 68288, Tempo, 458015
1, 68308, Tempo, 459770
1, 68320, Tempo, 461538
1, 68336, Tempo, 463320
1, 68352, Tempo, 465116
1, 68368, Tempo, 466926
1, 68388, Tempo, 468750
1, 68400, Tempo, 470588
1, 68416, Tempo, 472441
1, 68432, Tempo, 474308
1, 68448, Tempo, 476190
1, 68468, Tempo, 478088
1, 68480, Tempo, 480000
1, 68496, Tempo, 481928
1, 68512, Tempo, 483871
1, 68528, Tempo, 485830
1, 68548, Tempo, 487805
1, 68560, Tempo, 489796
1, 68576, Tempo, 491803
1, 68592, Tempo, 493827
1, 68608, Tempo, 495868
1, 68628, Tempo, 497925
1, 68640, Tempo, 2033898
1, 68640, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Harpsichord"
2, 0, Program_c, 0, 6
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 96
2, 0, Note_on_c, 0, 60, 100
2, 960, Note_on_c, 0, 60, 0
2, 960, Note_on_c, 0, 63, 100
2, 1920, Note_on_c, 0, 63, 0
2, 1920, Note_on_c, 0, 67, 100
2, 2880, Note_on_c, 0, 67, 0
2, 2880, Note_on_c, 0, 68, 100
2, 3840, Note_on_c, 0, 68, 0
2, 3840, Note_on_c, 0, 59, 100
2, 4800, Note_on_c, 0, 59, 0
2, 5280, Note_on_c, 0, 67, 100
2, 6240, Note_on_c, 0, 67, 0
2, 6240, Note_on_c, 0, 66, 100
2, 7200, Note_on_c, 0, 66, 0
2, 7200, Note_on_c, 0, 65, 100
2, 8160, Note_on_c, 0, 65, 0
2, 8160, Note_on_c, 0, 64, 100
2, 9120, Note_on_c, 0, 64, 0
2, 9120, Note_on_c, 0, 63, 100
2, 10080, Note_on_c, 0, 63, 0
2, 10080, Note_on_c, 0, 62, 100
2, 10560, Note_on_c, 0, 62, 0
2, 10560, Note_on_c, 0, 61, 100
2, 11040, Note_on_c, 0, 61, 0
2, 11040, Note_on_c, 0, 60, 100
2, 11520, Note_on_c, 0, 60, 0
2, 11520, Note_on_c, 0, 59, 100
2, 12000, Note_on_c, 0, 59, 0
2, 12000, Note_on_c, 0, 55, 100
2, 12480, Note_on_c, 0, 55, 0
2, 12480, Note_on_c, 0, 60, 100
2, 12960, Note_on_c, 0, 60, 0
2, 12960, Note_on_c, 0, 65, 100
2, 13440, Note_on_c, 0, 65, 0
2, 13440, Note_on_c, 0, 63, 100
2, 14400, Note_on_c, 0, 63, 0
2, 14400, Note_on_c, 0, 62, 100
2, 15360, Note_on_c, 0, 62, 0
2, 15360, Note_on_c, 0, 60, 100
2, 16320, Note_on_c, 0, 60, 0
2, 16320, Note_on_c, 0, 63, 100
2, 17280, Note_on_c, 0, 63, 0
2, 17280, Note_on_c, 0, 67, 100
2, 17520, Note_on_c, 0, 67, 0
2, 17520, Note_on_c, 0, 65, 100
2, 17760, Note_on_c, 0, 65, 0
2, 17760, Note_on_c, 0, 67, 100
2, 18000, Note_on_c, 0, 67, 0
2, 18000, Note_on_c, 0, 72, 100
2, 18240, Note_on_c, 0, 72, 0
2, 18240, Note_on_c, 0, 67, 100
2, 18480, Note_on_c, 0, 67, 0
2, 18480, Note_on_c, 0, 63, 100
2, 18720, Note_on_c, 0, 63, 0
2, 18720, Note_on_c, 0, 62, 100
2, 18960, Note_on_c, 0, 62, 0
2, 18960, Note_on_c, 0, 63, 100
2, 19200, Note_on_c, 0, 63, 0
2, 19200, Note_on_c, 0, 65, 100
2, 19440, Note_on_c, 0, 65, 0
2, 19440, Note_on_c, 0, 67, 100
2, 19680, Note_on_c, 0, 67, 0
2, 19680, Note_on_c, 0, 69, 100
2, 19920, Note_on_c, 0, 69, 0
2, 19920, Note_on_c, 0, 71, 100
2, 20160, Note_on_c, 0, 71, 0
2, 20160, Note_on_c, 0, 72, 100
2, 20400, Note_on_c, 0, 72, 0
2, 20400, Note_on_c, 0, 63, 100
2, 20640, Note_on_c, 0, 63, 0
2, 20640, Note_on_c, 0, 65, 100
2, 20880, Note_on_c, 0, 65, 0
2, 20880, Note_on_c, 0, 67, 100
2, 21120, Note_on_c, 0, 67, 0
2, 21120, Note_on_c, 0, 68, 100
2, 21360, Note_on_c, 0, 68, 0
2, 21360, Note_on_c, 0, 62, 100
2, 21600, Note_on_c, 0, 62, 0
2, 21600, Note_on_c, 0, 63, 100
2, 21840, Note_on_c, 0, 63, 0
2, 21840, Note_on_c, 0, 65, 100
2, 22080, Note_on_c, 0, 65, 0
2, 22080, Note_on_c, 0, 67, 100
2, 22320, Note_on_c, 0, 67, 0
2, 22320, Note_on_c, 0, 65, 100
2, 22560, Note_on_c, 0, 65, 0
2, 22560, Note_on_c, 0, 63, 100
2, 22800, Note_on_c, 0, 63, 0
2, 22800, Note_on_c, 0, 62, 100
2, 23040, Note_on_c, 0, 62, 0
2, 23040, Note_on_c, 0, 63, 100
2, 23280, Note_on_c, 0, 63, 0
2, 23280, Note_on_c, 0, 65, 100
2, 23520, Note_on_c, 0, 65, 0
2, 23520, Note_on_c, 0, 67, 100
2, 23760, Note_on_c, 0, 67, 0
2, 23760, Note_on_c, 0, 68, 100
2, 24000, Note_on_c, 0, 68, 0
2, 24000, Note_on_c, 0, 70, 100
2, 24240, Note_on_c, 0, 70, 0
2, 24240, Note_on_c, 0, 68, 100
2, 24480, Note_on_c, 0, 68, 0
2, 24480, Note_on_c, 0, 67, 100
2, 24720, Note_on_c, 0, 67, 0
2, 24720, Note_on_c, 0, 65, 100
2, 24960, Note_on_c, 0, 65, 0
2, 24960, Note_on_c, 0, 67, 100
2, 25200, Note_on_c, 0, 67, 0
2, 25200, Note_on_c, 0, 68, 100
2, 25440, Note_on_c, 0, 68, 0
2, 25440, Note_on_c, 0, 70, 100
2, 25680, Note_on_c, 0, 70, 0
2, 25680, Note_on_c, 0, 72, 100
2, 25920, Note_on_c, 0, 72, 0
2, 25920, Note_on_c, 0, 73, 100
2, 26160, Note_on_c, 0, 73, 0
2, 26160, Note_on_c, 0, 70, 100
2, 26400, Note_on_c, 0, 70, 0
2, 26400, Note_on_c, 0, 68, 100
2, 26640, Note_on_c, 0, 68, 0
2, 26640, Note_on_c, 0, 67, 100
2, 26880, Note_on_c, 0, 67, 0
2, 26880, Note_on_c, 0, 69, 100
2, 27120, Note_on_c, 0, 69, 0
2, 27120, Note_on_c, 0, 71, 100
2, 27360, Note_on_c, 0, 71, 0
2, 27360, Note_on_c, 0, 72, 100
2, 27600, Note_on_c, 0, 72, 0
2, 27600, Note_on_c, 0, 74, 100
2, 27840, Note_on_c, 0, 74, 0
2, 27840, Note_on_c, 0, 75, 100
2, 28080, Note_on_c, 0, 75, 0
2, 28080, Note_on_c, 0, 72, 100
2, 28320, Note_on_c, 0, 72, 0
2, 28320, Note_on_c, 0, 71, 100
2, 28560, Note_on_c, 0, 71, 0
2, 28560, Note_on_c, 0, 69, 100
2, 28800, Note_on_c, 0, 69, 0
2, 28800, Note_on_c, 0, 71, 100
2, 29040, Note_on_c, 0, 71, 0
2, 29040, Note_on_c, 0, 72, 100
2, 29280, Note_on_c, 0, 72, 0
2, 29280, Note_on_c, 0, 74, 100
2, 29520, Note_on_c, 0, 74, 0
2, 29520, Note_on_c, 0, 75, 100
2, 29760, Note_on_c, 0, 75, 0
2, 29760, Note_on_c, 0, 77, 100
2, 30000, Note_on_c, 0, 77, 0
2, 30000, Note_on_c, 0, 74, 100
2, 30240, Note_on_c, 0, 74, 0
2, 30240, Note_on_c, 0, 67, 100
