0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 600000
1, 157440, Tempo, 600000
1, 157480, Tempo, 603015
1, 157508, Tempo, 606061
1, 157540, Tempo, 609137
1, 157568, Tempo, 612245
1, 157600, Tempo, 615385
1, 157640, Tempo, 618557
1, 157668, Tempo, 621762
1, 157700, Tempo, 625000
1, 157728, Tempo, 628272
1, 157760, Tempo, 631579
1, 157800, Tempo, 634921
1, 157828, Tempo, 638298
1, 157860, Tempo, 641711
1, 157888, Tempo, 645161
1, 157920, Tempo, 648649
1, 157960, Tempo, 652174
1, 157988, Tempo, 655738
1, 158020, Tempo, 659341
1, 158048, Tempo, 662983
1, 158080, Tempo, 666667
1, 158120, Tempo, 670391
1, 158148, Tempo, 674157
1, 158180, Tempo, 677966
1, 158208, Tempo, 681818
1, 158240, Tempo, 685714
1, 158280, Tempo, 689655
1, 158308, Tempo, 693642
1, 158340, Tempo, 697674
1, 158368, Tempo, 701754
1, 158400, Tempo, 705882
1, 158440, Tempo, 710059
1, 158468, Tempo, 714286
1, 158500, Tempo, 718563
1, 158528, Tempo, 722892
1, 158560, Tempo, 727273
1, 158600, Tempo, 731707
1, 158628, Tempo, 736196
1, 158660, Tempo, 740741
1, 158688, Tempo, 745342
1, 158720, Tempo, 750000
1, 158760, Tempo, 754717
1, 158788, Tempo, 759494
1, 158820, Tempo, 764331
1, 158848, Tempo, 769231
1, 158880, Tempo, 774194
1, 158920, Tempo, 779221
1, 158948, Tempo, 784314
1, 158980, Tempo, 789474
1, 159008, Tempo, 794702
1, 159040, Tempo, 800000
1, 159080, Tempo, 805369
1, 159108, Tempo, 810811
1, 159140, Tempo, 816327
1, 159168, Tempo, 821918
1, 159200, Tempo, 827586
1, 159240, Tempo, 833333
1, 159268, Tempo, 839161
1, 159300, Tempo, 845070
1, 159328, Tempo, 851064
1, 159360, Tempo, 857143
1, 159380, Tempo, 863309
1, 159400, Tempo, 869565
1, 159408, Tempo, 875912
1, 159428, Tempo, 882353
1, 159440, Tempo, 888889
1, 159460, Tempo, 895522
1, 159480, Tempo, 902256
1, 159488, Tempo, 909091
1, 159508, Tempo, 916031
1, 159520, Tempo, 923077
1, 159540, Tempo, 930233
1, 159560, Tempo, 937500
1, 159568, Tempo, 944882
1, 159588, Tempo, 952381
1, 159600, Tempo, 960000
1, 159620, Tempo, 967742
1, 159640, Tempo, 975610
1, 159648, Tempo, 983607
1, 159668, Tempo, 991736
1, 159680, Tempo, 1000000
1, 159700, Tempo, 1008403
1, 159720, Tempo, 1016949
1, 159728, Tempo, 1025641
1, 159748, Tempo, 1034483
1, 159760, Tempo, 1043478
1, 159780, Tempo, 1052632
1, 159800, Tempo, 1061947
1, 159808, Tempo, 1071429
1, 159828, Tempo, 1081081
1, 159840, Tempo, 1090909
1, 159860, Tempo, 1100917
1, 159880, Tempo, 1111111
1, 159888, Tempo, 1121495
1, 159908, Tempo, 1132075
1, 159920, Tempo, 1142857
1, 159940, Tempo, 1153846
1, 159960, Tempo, 1165049
1, 159968, Tempo, 1176471
1, 159988, Tempo, 1188119
1, 160000, Tempo, 1200000
1, 160020, Tempo, 1212121
1, 160040, Tempo, 1224490
1, 160048, Tempo, 1237113
1, 160068, Tempo, 1250000
1, 160080, Tempo, 1263158
1, 160100, Tempo, 1276596
1, 160120, Tempo, 1290323
1, 160128, Tempo, 1304348
1, 160148, Tempo, 1318681
1, 160160, Tempo, 1333333
1, 160180, Tempo, 1348315
1, 160200, Tempo, 1363636
1, 160208, Tempo, 1379310
1, 160228, Tempo, 1395349
1, 160240, Tempo, 1411765
1, 160260, Tempo, 1428571
1, 160280, Tempo, 1445783
1, 160288, Tempo, 1463415
1, 160308, Tempo, 1481481
1, 160320, Tempo, 1500000
1, 160320, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "String Quartet"
2, 0, Program_c, 0, 40
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 94
2, 23040, Note_on_c, 0, 69, 100
2, 24000, Note_on_c, 0, 69, 0
2, 24000, Note_on_c, 0, 74, 100
2, 24960, Note_on_c, 0, 74, 0
2, 24960, Note_on_c, 0, 72, 100
2, 25920, Note_on_c, 0, 72, 0
2, 25920, Note_on_c, 0, 69, 100
2, 26880, Note_on_c, 0, 69, 0
2, 26880, Note_on_c, 0, 68, 100
2, 27840, Note_on_c, 0, 68, 0
2, 27840, Note_on_c, 0, 69, 100
2, 28320, Note_on_c, 0, 69, 0
2, 28320, Note_on_c, 0, 71, 100
2, 28800, Note_on_c, 0, 71, 0
2, 28800, Note_on_c, 0, 72, 100
2, 30080, Note_on_c, 0, 72, 0
2, 30080, Note_on_c, 0, 74, 100
2, 30240, Note_on_c, 0, 74, 0
2, 30240, Note_on_c, 0, 72, 100
2, 30560, Note_on_c, 0, 72, 0
2, 30560, Note_on_c, 0, 71, 100
2, 30720, Note_on_c, 0, 71, 0
2, 30720, Note_on_c, 0, 69, 100
2, 34560, Note_on_c, 0, 69, 0
2, 34560, Note_on_c, 0, 62, 100
2, 38720, Note_on_c, 0, 62, 0
2, 38720, Note_on_c, 0, 61, 100
2, 38880, Note_on_c, 0, 61, 0
2, 38880, Note_on_c, 0, 62, 100
2, 39200, Note_on_c, 0, 62, 0
2, 39200, Note_on_c, 0, 65, 100
2, 39360, Note_on_c, 0, 65, 0
2, 39360, Note_on_c, 0, 64, 100
2, 39680, Note_on_c, 0, 64, 0
2, 39680, Note_on_c, 0, 62, 100
2, 39840, Note_on_c, 0, 62, 0
2, 39840, Note_on_c, 0, 68, 100
