0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 1200000
1, 0, Marker_t, "A"
1, 20, Tempo, 1188119
1, 40, Tempo, 1176471
1, 60, Tempo, 1165049
1, 80, Tempo, 1153846
1, 96, Tempo, 1142857
1, 120, Tempo, 1132075
1, 136, Tempo, 1121495
1, 152, Tempo, 1111111
1, 176, Tempo, 1100917
1, 192, Tempo, 1090909
1, 208, Tempo, 1081081
1, 232, Tempo, 1071429
1, 248, Tempo, 1061947
1, 272, Tempo, 1052632
1, 288, Tempo, 1043478
1, 308, Tempo, 1034483
1, 328, Tempo, 1025641
1, 348, Tempo, 1016949
1, 364, Tempo, 1008403
1, 388, Tempo, 1000000
1, 404, Tempo, 991736
1, 420, Tempo, 983607
1, 444, Tempo, 975610
1, 460, Tempo, 967742
1, 480, Tempo, 960000
1, 500, Tempo, 952381
1, 520, Tempo, 944882
1, 540, Tempo, 937500
1, 560, Tempo, 930233
1, 576, Tempo, 923077
1, 600, Tempo, 916031
1, 616, Tempo, 909091
1, 632, Tempo, 902256
1, 656, Tempo, 895522
1, 672, Tempo, 888889
1, 688, Tempo, 882353
1, 712, Tempo, 875912
1, 728, Tempo, 869565
1, 752, Tempo, 863309
1, 768, Tempo, 857143
1, 788, Tempo, 851064
1, 808, Tempo, 845070
1, 828, Tempo, 839161
1, 844, Tempo, 833333
1, 868, Tempo, 827586
1, 884, Tempo, 821918
1, 900, Tempo, 816327
1, 924, Tempo, 810811
1, 940, Tempo, 805369
1, 960, Tempo, 800000
1, 28800, Marker_t, "1."
1, 30720, Marker_t, "A'"
1, 30722, Tempo, 1200000
1, 30726, Tempo, 1197605
1, 30730, Tempo, 1195219
1, 30734, Tempo, 1192843
1, 30738, Tempo, 1190476
1, 30742, Tempo, 1188119
1, 30746, Tempo, 1185771
1, 30750, Tempo, 1183432
1, 30754, Tempo, 1181102
1, 30758, Tempo, 1178782
1, 30762, Tempo, 1176471
1, 30766, Tempo, 1174168
1, 30770, Tempo, 1171875
1, 30774, Tempo, 1169591
1, 30778, Tempo, 1167315
1, 30782, Tempo, 1165049
1, 30786, Tempo, 1162791
1, 30790, Tempo, 1160542
1, 30794, Tempo, 1158301
1, 30798, Tempo, 1156069
1, 30802, Tempo, 1153846
1, 30806, Tempo, 1151631
1, 30810, Tempo, 1149425
1, 30814, Tempo, 1147228
1, 30818, Tempo, 1142857
1, 30822, Tempo, 1140684
1, 30826, Tempo, 1138520
1, 30830, Tempo, 1136364
1, 30834, Tempo, 1134216
1, 30838, Tempo, 1132075
1, 30842, Tempo, 1129944
1, 30846, Tempo, 1127820
1, 30850, Tempo, 1125704
1, 30854, Tempo, 1123596
1, 30858, Tempo, 1121495
1, 30862, Tempo, 1119403
1, 30866, Tempo, 1117318
1, 30870, Tempo, 1115242
1, 30874, Tempo, 1113173
1, 30878, Tempo, 1111111
1, 30882, Tempo, 1109057
1, 30886, Tempo, 1107011
1, 30890, Tempo, 1104972
1, 30894, Tempo, 1102941
1, 30898, Tempo, 1100917
1, 30902, Tempo, 1098901
1, 30906, Tempo, 1096892
1, 30910, Tempo, 1094891
1, 30914, Tempo, 1090909
1, 30918, Tempo, 1088929
1, 30922, Tempo, 1086957
1, 30926, Tempo, 1084991
1, 30930, Tempo, 1083032
1, 30934, Tempo, 1081081
1, 30938, Tempo, 1079137
1, 30942, Tempo, 1077199
1, 30946, Tempo, 1075269
1, 30950, Tempo, 1073345
1, 30954, Tempo, 1071429
1, 30958, Tempo, 1069519
1, 30962, Tempo, 1067616
1, 30966, Tempo, 1065719
1, 30970, Tempo, 1063830
1, 30974, Tempo, 1061947
1, 30978, Tempo, 1060071
1, 30982, Tempo, 1058201
1, 30986, Tempo, 1056338
1, 30990, Tempo, 1054482
1, 30994, Tempo, 1052632
1, 30998, Tempo, 1050788
1, 31002, Tempo, 1048951
1, 31006, Tempo, 1047120
1, 31010, Tempo, 1043478
1, 31014, Tempo, 1041667
1, 31018, Tempo, 1039861
1, 31022, Tempo, 1038062
1, 31026, Tempo, 1036269
1, 31030, Tempo, 1034483
1, 31034, Tempo, 1032702
1, 31038, Tempo, 1030928
1, 31042, Tempo, 1029160
1, 31046, Tempo, 1027397
1, 31050, Tempo, 1025641
1, 31054, Tempo, 1023891
1, 31058, Tempo, 1022147
1, 31062, Tempo, 1020408
1, 31066, Tempo, 1018676
1, 31070, Tempo, 1016949
1, 31074, Tempo, 1015228
1, 31078, Tempo, 1013514
1, 31082, Tempo, 1011804
1, 31086, Tempo, 1010101
1, 31090, Tempo, 1008403
1, 31094, Tempo, 1006711
1, 31098, Tempo, 1005025
1, 31102, Tempo, 1003344
1, 31106, Tempo, 1000000
1, 31110, Tempo, 998336
1, 31114, Tempo, 996678
1, 31118, Tempo, 995025
1, 31122, Tempo, 993377
1, 31126, Tempo, 991736
1, 31130, Tempo, 990099
1, 31134, Tempo, 988468
1, 31138, Tempo, 986842
1, 31142, Tempo, 985222
1, 31146, Tempo, 983607
1, 31150, Tempo, 981997
1, 31154, Tempo, 980392
1, 31158, Tempo, 978793
1, 31162, Tempo, 977199
1, 31166, Tempo, 975610
1, 31170, Tempo, 974026
1, 31174, Tempo, 972447
1, 31178, Tempo, 970874
1, 31182, Tempo, 969305
1, 31186, Tempo, 967742
1, 31190, Tempo, 966184
1, 31194, Tempo, 964630
1, 31198, Tempo, 963082
1, 31202, Tempo, 960000
1, 31206, Tempo, 958466
1, 31210, Tempo, 956938
1, 31214, Tempo, 955414
1, 31218, Tempo, 953895
1, 31222, Tempo, 952381
1, 31226, Tempo, 950872
