0, 0, Header, 1, 6, 240
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 1000000
1, 0, Marker_t, "Andante"
1, 114236, Tempo, 1000000
1, 114272, Tempo, 983607
1, 114324, Tempo, 1000000
1, 114328, Tempo, 1016949
1, 114344, Tempo, 1034483
1, 114364, Tempo, 1052632
1, 114384, Tempo, 1071429
1, 114392, Tempo, 1090909
1, 114404, Tempo, 1111111
1, 114424, Tempo, 1132075
1, 114436, Tempo, 1153846
1, 114444, Tempo, 1176471
1, 114460, Tempo, 1200000
1, 114488, Tempo, 1224490
1, 114516, Tempo, 1250000
1, 114524, Tempo, 1276596
1, 114544, Tempo, 1304348
1, 114556, Tempo, 1333333
1, 114584, Tempo, 1363636
1, 114592, Tempo, 1395349
1, 114616, Tempo, 1428571
1, 114644, Tempo, 1463415
1, 114812, Tempo, 1428571
1, 114816, Tempo, 1395349
1, 114820, Tempo, 1363636
1, 114832, Tempo, 1333333
1, 114844, Tempo, 1304348
1, 114852, Tempo, 1276596
1, 114864, Tempo, 1250000
1, 114880, Tempo, 1224490
1, 114884, Tempo, 1200000
1, 114888, Tempo, 1176471
1, 114896, Tempo, 1153846
1, 114900, Tempo, 1132075
1, 114908, Tempo, 1111111
1, 114912, Tempo, 1090909
1, 114920, Tempo, 1071429
1, 114932, Tempo, 1052632
1, 114944, Tempo, 1034483
1, 114948, Tempo, 1016949
1, 114968, Tempo, 500000
1, 115200, Tempo, 2000000
1, 115200, Marker_t, "Largo e dolce"
1, 138240, Tempo, 333333
1, 138240, Marker_t, "Presto"
1, 217940, Tempo, 600000
1, 310314, Tempo, 600000
1, 310320, Tempo, 612245
1, 310344, Tempo, 618557
1, 310380, Tempo, 612245
1, 310384, Tempo, 606061
1, 310448, Tempo, 612245
1, 310452, Tempo, 618557
1, 310456, Tempo, 625000
1, 310464, Tempo, 638298
1, 310468, Tempo, 645161
1, 310476, Tempo, 652174
1, 310480, Tempo, 659341
1, 310484, Tempo, 666667
1, 310492, Tempo, 674157
1, 310496, Tempo, 681818
1, 310500, Tempo, 689655
1, 310504, Tempo, 697674
1, 310508, Tempo, 705882
1, 310512, Tempo, 722892
1, 310516, Tempo, 740741
1, 310520, Tempo, 750000
1, 310524, Tempo, 769231
1, 310528, Tempo, 779221
1, 310532, Tempo, 810811
1, 310536, Tempo, 821918
1, 310540, Tempo, 833333
1, 310544, Tempo, 857143
1, 310548, Tempo, 869565
1, 310556, Tempo, 882353
1, 310564, Tempo, 909091
1, 310576, Tempo, 923077
1, 310580, Tempo, 937500
1, 310584, Tempo, 967742
1, 310592, Tempo, 983607
1, 310600, Tempo, 1016949
1, 310604, Tempo, 1034483
1, 310608, Tempo, 1052632
1, 310612, Tempo, 1071429
1, 310616, Tempo, 1090909
1, 310620, Tempo, 1111111
1, 310624, Tempo, 1132075
1, 310628, Tempo, 1153846
1, 310636, Tempo, 1200000
1, 310640, Tempo, 1224490
1, 310644, Tempo, 1250000
1, 310652, Tempo, 1304348
1, 310656, Tempo, 1363636
1, 310664, Tempo, 1428571
1, 310668, Tempo, 1463415
1, 310672, Tempo, 1500000
1, 310676, Tempo, 1621622
1, 310684, Tempo, 1764706
1, 310688, Tempo, 1818182
1, 310692, Tempo, 1875000
1, 310696, Tempo, 2000000
1, 310700, Tempo, 2068966
1, 310704, Tempo, 2142857
1, 310708, Tempo, 2307692
1, 310712, Tempo, 2400000
1, 310716, Tempo, 2608696
1, 310720, Tempo, 2727273
1, 310724, Tempo, 2857143
1, 310728, Tempo, 3000000
1, 310732, Tempo, 3157895
1, 310736, Tempo, 3529412
1, 310744, Tempo, 3750000
1, 310748, Tempo, 4285714
1, 310752, Tempo, 4615385
1, 310756, Tempo, 5454545
1, 310760, Tempo, 6000000
1, 310764, Tempo, 6000000
1, 310894, Tempo, 6000000
1, 310938, Tempo, 6000000
1, 310982, Tempo, 6000000
1, 310982, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "J. S. Bach Sonata for Flute and "
2, 0, End_track
3, 0, Start_track
3, 0, MIDI_port, 0
3, 0, Title_t, "Harpsichord in B minor  BWV 1030"
3, 0, End_track
4, 0, Start_track
4, 0, MIDI_port, 0
4, 0, Title_t, "Flute"
4, 0, Program_c, 0, 73
4, 0, Control_c, 0, 7, 100
4, 0, Control_c, 0, 10, 64
4, 0, Control_c, 0, 1, 16
4, 840, Note_on_c, 0, 71, 100
4, 960, Note_on_c, 0, 71, 0
4, 960, Note_on_c, 0, 78, 100
4, 1080, Note_on_c, 0, 78, 0
4, 1080, Note_on_c, 0, 78, 100
4, 1320, Note_on_c, 0, 78, 0
4, 1320, Note_on_c, 0, 76, 100
4, 1350, Note_on_c, 0, 76, 0
4, 1350, Note_on_c, 0, 78, 100
4, 1380, Note_on_c, 0, 78, 0
4, 1380, Note_on_c, 0, 79, 100
4, 1440, Note_on_c, 0, 79, 0
4, 1440, Note_on_c, 0, 78, 100
4, 1560, Note_on_c, 0, 78, 0
4, 1560, Note_on_c, 0, 78, 100
4, 1800, Note_on_c, 0, 78, 0
4, 1800, Note_on_c, 0, 76, 100
4, 1830, Note_on_c, 0, 76, 0
4, 1830, Note_on_c, 0, 78, 100
4, 1860, Note_on_c, 0, 78, 0
4, 1860, Note_on_c, 0, 79, 100
4, 1920, Note_on_c, 0, 79, 0
4, 1920, Note_on_c, 0, 78, 100
4, 2040, Note_on_c, 0, 78, 0
4, 2040, Note_on_c, 0, 79, 100
4, 2160, Note_on_c, 0, 79, 0
4, 2160, Note_on_c, 0, 78, 100
4, 2280, Note_on_c, 0, 78, 0
