0, 0, Header, 1, 8, 384
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 300000
1, 9216, Time_signature, 2, 2, 24, 8
1, 9216, Tempo, 480000
1, 15212, Tempo, 491803
1, 15220, Tempo, 508475
1, 15224, Tempo, 517241
1, 15232, Tempo, 530973
1, 15240, Tempo, 545455
1, 15244, Tempo, 560748
1, 15252, Tempo, 576923
1, 15256, Tempo, 582524
1, 15264, Tempo, 594059
1, 15272, Tempo, 618557
1, 15276, Tempo, 645161
1, 15284, Tempo, 674157
1, 15288, Tempo, 1428571
1, 15304, Tempo, 1428571
1, 15308, Tempo, 1428571
1, 15316, Tempo, 1500000
1, 15320, Tempo, 1578947
1, 15328, Tempo, 1428571
1, 15352, Tempo, 659341
1, 15360, Time_signature, 6, 3, 12, 8
1, 15360, Tempo, 612245
1, 15368, Tempo, 1200000
1, 15374, Tempo, 612245
1, 15418, Tempo, 1500000
1, 15424, Tempo, 612245
1, 15482, Tempo, 618557
1, 15578, Tempo, 612245
1, 15584, Tempo, 600000
1, 15598, Tempo, 594059
1, 15610, Tempo, 588235
1, 15616, Tempo, 594059
1, 15624, Tempo, 612245
1, 15680, Tempo, 600000
1, 24576, Time_signature, 2, 2, 24, 8
1, 24576, Tempo, 491803
1, 36096, Time_signature, 3, 2, 24, 8
1, 36096, Tempo, 638298
1, 39560, Tempo, 645161
1, 39640, Tempo, 645161
1, 39680, Tempo, 659341
1, 39704, Tempo, 666667
1, 39720, Tempo, 674157
1, 39732, Tempo, 681818
1, 39756, Tempo, 689655
1, 39796, Tempo, 705882
1, 39816, Tempo, 722892
1, 39852, Tempo, 731707
1, 39892, Tempo, 750000
1, 39916, Tempo, 750000
1, 39956, Tempo, 769231
1, 39968, Tempo, 779221
1, 39988, Tempo, 789474
1, 40024, Tempo, 800000
1, 40072, Tempo, 800000
1, 40116, Tempo, 800000
1, 40160, Tempo, 789474
1, 40200, Tempo, 779221
1, 40204, Tempo, 769231
1, 40224, Tempo, 750000
1, 40244, Tempo, 750000
1, 40268, Tempo, 731707
1, 40308, Tempo, 731707
1, 40344, Tempo, 722892
1, 40384, Tempo, 705882
1, 40396, Tempo, 697674
1, 40408, Tempo, 689655
1, 40436, Tempo, 681818
1, 40472, Tempo, 674157
1, 40488, Tempo, 674157
1, 40500, Tempo, 659341
1, 40512, Tempo, 645161
1, 40536, Tempo, 645161
1, 40544, Tempo, 638298
1, 40584, Tempo, 625000
1, 40608, Tempo, 625000
1, 40684, Tempo, 625000
1, 44168, Tempo, 625000
1, 44176, Tempo, 625000
1, 44188, Tempo, 645161
1, 44200, Tempo, 645161
1, 44304, Tempo, 659341
1, 44328, Tempo, 666667
1, 44380, Tempo, 674157
1, 44432, Tempo, 674157
1, 44464, Tempo, 681818
1, 44476, Tempo, 689655
1, 44496, Tempo, 697674
1, 44520, Tempo, 705882
1, 44568, Tempo, 722892
1, 44612, Tempo, 731707
1, 44624, Tempo, 731707
1, 44664, Tempo, 750000
1, 44676, Tempo, 750000
1, 44712, Tempo, 769231
1, 44764, Tempo, 779221
1, 44836, Tempo, 769231
1, 44848, Tempo, 750000
1, 44872, Tempo, 750000
1, 44900, Tempo, 731707
1, 44968, Tempo, 731707
1, 44976, Tempo, 722892
1, 45000, Tempo, 705882
1, 45040, Tempo, 697674
1, 45156, Tempo, 689655
1, 45160, Tempo, 681818
1, 45168, Tempo, 674157
1, 45176, Tempo, 674157
1, 45180, Tempo, 659341
1, 45200, Tempo, 645161
1, 45220, Tempo, 645161
1, 45244, Tempo, 638298
1, 45252, Tempo, 625000
1, 45276, Tempo, 625000
1, 48772, Tempo, 625000
1, 48784, Tempo, 638298
1, 48792, Tempo, 645161
1, 48800, Tempo, 645161
1, 48812, Tempo, 659341
1, 48824, Tempo, 666667
1, 48832, Tempo, 674157
1, 48836, Tempo, 681818
1, 48856, Tempo, 689655
1, 48864, Tempo, 697674
1, 48868, Tempo, 705882
1, 48880, Tempo, 722892
1, 48908, Tempo, 731707
1, 48932, Tempo, 731707
1, 48992, Tempo, 750000
1, 49024, Tempo, 750000
1, 49068, Tempo, 769231
1, 49520, Tempo, 750000
1, 49548, Tempo, 750000
1, 49568, Tempo, 731707
1, 49600, Tempo, 731707
1, 49664, Tempo, 722892
1, 49720, Tempo, 705882
1, 49740, Tempo, 697674
1, 49760, Tempo, 689655
1, 49776, Tempo, 681818
1, 49796, Tempo, 674157
1, 49808, Tempo, 674157
1, 49824, Tempo, 666667
1, 49828, Tempo, 659341
1, 49848, Tempo, 645161
1, 49856, Tempo, 645161
1, 49860, Tempo, 638298
1, 49872, Tempo, 625000
1, 49888, Tempo, 625000
1, 49892, Tempo, 618557
1, 49904, Tempo, 612245
1, 52992, Tempo, 625000
1, 53056, Tempo, 681818
1, 53072, Tempo, 697674
1, 53076, Tempo, 705882
1, 53084, Tempo, 722892
1, 53096, Tempo, 731707
1, 53116, Tempo, 731707
1, 53120, Tempo, 750000
1, 53136, Tempo, 750000
1, 53148, Tempo, 769231
1, 53160, Tempo, 779221
1, 53172, Tempo, 789474
1, 53184, Tempo, 800000
1, 53200, Tempo, 800000
1, 53216, Tempo, 821918
1, 53224, Tempo, 833333
1, 53264, Tempo, 833333
1, 53300, Tempo, 845070
1, 53320, Tempo, 869565
1, 53360, Tempo, 869565
1, 53408, Tempo, 895522
1, 53424, Tempo, 895522
1, 53436, Tempo, 923077
1, 53448, Tempo, 937500
1, 53500, Tempo, 967742
1, 53524, Tempo, 983607
1, 53552, Tempo, 1000000
1, 53556, Tempo, 1000000
1, 53608, Tempo, 1016949
1, 53628, Tempo, 1052632
