0, 0, Header, 1, 18, 480
1, 0, Start_track
1, 0, Title_t, "Chaconne"
1, 0, Title_t, "from Partita No.2 for solo Violin BWV 1004"
1, 0, Text_t, "J.S. Bach\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 1000000
1, 126720, Marker_t, "arpeggio"
1, 190080, Key_signature, 2, "major"
1, 190080, Marker_t, "D Major"
1, 288000, Marker_t, "arpeggio"
1, 299520, Key_signature, -1, "major"
1, 299520, Marker_t, "D minor"
1, 361440, Tempo, 1000000
1, 361480, Tempo, 1001669
1, 361520, Tempo, 1003344
1, 361548, Tempo, 1005025
1, 361588, Tempo, 1006711
1, 361620, Tempo, 1008403
1, 361660, Tempo, 1010101
1, 361700, Tempo, 1011804
1, 361728, Tempo, 1013514
1, 361768, Tempo, 1015228
1, 361800, Tempo, 1016949
1, 361840, Tempo, 1018676
1, 361880, Tempo, 1020408
1, 361908, Tempo, 1022147
1, 361948, Tempo, 1023891
1, 361980, Tempo, 1025641
1, 362020, Tempo, 1027397
1, 362060, Tempo, 1029160
1, 362088, Tempo, 1030928
1, 362128, Tempo, 1032702
1, 362160, Tempo, 1034483
1, 362200, Tempo, 1036269
1, 362240, Tempo, 1038062
1, 362268, Tempo, 1039861
1, 362308, Tempo, 1041667
1, 362340, Tempo, 1043478
1, 362380, Tempo, 1045296
1, 362420, Tempo, 1047120
1, 362448, Tempo, 1048951
1, 362488, Tempo, 1050788
1, 362520, Tempo, 1052632
1, 362560, Tempo, 1054482
1, 362600, Tempo, 1056338
1, 362628, Tempo, 1058201
1, 362668, Tempo, 1060071
1, 362700, Tempo, 1061947
1, 362740, Tempo, 1063830
1, 362780, Tempo, 1065719
1, 362808, Tempo, 1067616
1, 362848, Tempo, 1069519
1, 362880, Tempo, 1071429
1, 362920, Tempo, 1073345
1, 362960, Tempo, 1075269
1, 362988, Tempo, 1077199
1, 363028, Tempo, 1079137
1, 363060, Tempo, 1081081
1, 363100, Tempo, 1083032
1, 363140, Tempo, 1084991
1, 363168, Tempo, 1086957
1, 363208, Tempo, 1088929
1, 363240, Tempo, 1090909
1, 363280, Tempo, 1092896
1, 363320, Tempo, 1094891
1, 363348, Tempo, 1096892
1, 363388, Tempo, 1098901
1, 363420, Tempo, 1100917
1, 363460, Tempo, 1102941
1, 363500, Tempo, 1104972
1, 363528, Tempo, 1107011
1, 363568, Tempo, 1109057
1, 363600, Tempo, 1111111
1, 363640, Tempo, 1113173
1, 363680, Tempo, 1115242
1, 363708, Tempo, 1117318
1, 363748, Tempo, 1119403
1, 363780, Tempo, 1121495
1, 363820, Tempo, 1123596
1, 363860, Tempo, 1125704
1, 363888, Tempo, 1127820
1, 363928, Tempo, 1129944
1, 363960, Tempo, 1132075
1, 364000, Tempo, 1134216
1, 364040, Tempo, 1136364
1, 364068, Tempo, 1138520
1, 364108, Tempo, 1140684
1, 364140, Tempo, 1142857
1, 364180, Tempo, 1145038
1, 364220, Tempo, 1147228
1, 364248, Tempo, 1149425
1, 364288, Tempo, 1151631
1, 364320, Tempo, 1153846
1, 364360, Tempo, 1156069
1, 364400, Tempo, 1158301
1, 364428, Tempo, 1160542
1, 364468, Tempo, 1162791
1, 364500, Tempo, 1165049
1, 364540, Tempo, 1167315
1, 364580, Tempo, 1169591
1, 364608, Tempo, 1171875
1, 364648, Tempo, 1174168
1, 364680, Tempo, 1176471
1, 364720, Tempo, 1178782
1, 364760, Tempo, 1181102
1, 364788, Tempo, 1183432
1, 364828, Tempo, 1185771
1, 364860, Tempo, 1188119
1, 364900, Tempo, 1190476
1, 364940, Tempo, 1192843
1, 364968, Tempo, 1195219
1, 365008, Tempo, 1197605
1, 365040, Tempo, 1200000
1, 365080, Tempo, 1202405
1, 365120, Tempo, 1204819
1, 365148, Tempo, 1207243
1, 365188, Tempo, 1209677
1, 365220, Tempo, 1212121
1, 365260, Tempo, 1214575
1, 365300, Tempo, 1217039
1, 365328, Tempo, 1219512
1, 365368, Tempo, 1221996
1, 365400, Tempo, 1224490
1, 365440, Tempo, 1226994
1, 365480, Tempo, 1229508
1, 365508, Tempo, 1232033
1, 365548, Tempo, 1234568
1, 365580, Tempo, 1237113
1, 365620, Tempo, 1239669
1, 365660, Tempo, 1242236
1, 365688, Tempo, 1244813
1, 365728, Tempo, 1247401
1, 365760, Tempo, 1250000
1, 365760, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Solo Violin"
2, 0, Program_c, 0, 40
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 54
2, 480, Note_on_c, 0, 69, 100
2, 1200, Note_on_c, 0, 69, 0
2, 1200, Note_on_c, 0, 69, 100
2, 1440, Note_on_c, 0, 69, 0
2, 1440, Note_on_c, 0, 76, 100
2, 1920, Note_on_c, 0, 76, 0
2, 1920, Note_on_c, 0, 76, 100
2, 2640, Note_on_c, 0, 76, 0
2, 2640, Note_on_c, 0, 76, 100
2, 2880, Note_on_c, 0, 76, 0
2, 2880, Note_on_c, 0, 77, 100
2, 3360, Note_on_c, 0, 77, 0
2, 3360, Note_on_c, 0, 74, 100
2, 4080, Note_on_c, 0, 74, 0
2, 4080, Note_on_c, 0, 72, 100
2, 4320, Note_on_c, 0, 72, 0
2, 4320, Note_on_c, 0, 70, 100
2, 4800, Note_on_c, 0, 70, 0
2, 4800, Note_on_c, 0, 69, 100
2, 5280, Note_on_c, 0, 69, 0
2, 5280, Note_on_c, 0, 67, 100
2, 5400, Note_on_c, 0, 67, 0
2, 5400, Note_on_c, 0, 65, 100
2, 5520, Note_on_c, 0, 65, 0
2, 5520, Note_on_c, 0, 64, 100
2, 5640, Note_on_c, 0, 64, 0
2, 5640, Note_on_c, 0, 65, 100
2, 5760, Note_on_c, 0, 65, 0
2, 5760, Note_on_c, 0, 67, 100
2, 5880, Note_on_c, 0, 67, 0
2, 5880, Note_on_c, 0, 64, 100
2, 6000, Note_on_c, 0, 64, 0
2, 6000, Note_on_c, 0, 65, 100
2, 6120, Note_on_c, 0, 65, 0
2, 6120, Note_on_c, 0, 62, 100
2, 6240, Note_on_c, 0, 62, 0
2, 6240, Note_on_c, 0, 69, 100
2, 6960, Note_on_c, 0, 69, 0
2, 6960, Note_on_c, 0, 69, 100
2, 7200, Note_on_c, 0, 69, 0
2, 7200, Note_on_c, 0, 76, 100
2, 7680, Note_on_c, 0, 76, 0
2, 7680, Note_on_c, 0, 76, 100
2, 8400, Note_on_c, 0, 76, 0
2, 8400, Note_on_c, 0, 76, 100
2, 8640, Note_on_c, 0, 76, 0
2, 8640, Note_on_c, 0, 77, 100
2, 9120, Note_on_c, 0, 77, 0
2, 9120, Note_on_c, 0, 74, 100
2, 9840, Note_on_c, 0, 74, 0
2, 9840, Note_on_c, 0, 74, 100
2, 10080, Note_on_c, 0, 74, 0
2, 10080, Note_on_c, 0, 82, 100
2, 10560, Note_on_c, 0, 82, 0
2, 10560, Note_on_c, 0, 81, 100
2, 10920, Note_on_c, 0, 81, 0
2, 10920, Note_on_c, 0, 79, 100
2, 10980, Note_on_c, 0, 79, 0
2, 10980, Note_on_c, 0, 77, 100
2, 11040, Note_on_c, 0, 77, 0
2, 11040, Note_on_c, 0, 79, 100
2, 11400, Note_on_c, 0, 79, 0
2, 11400, Note_on_c, 0, 76, 100
2, 11520, Note_on_c, 0, 76, 0
2, 11520, Note_on_c, 0, 77, 100
2, 11880, Note_on_c, 0, 77, 0
2, 12960, Note_on_c, 0, 70, 100
2, 13200, Note_on_c, 0, 70, 0
2, 13440, Note_on_c, 0, 69, 100
2, 13680, Note_on_c, 0, 69, 0
2, 14400, Note_on_c, 0, 69, 100
2, 14640, Note_on_c, 0, 69, 0
2, 15240, Note_on_c, 0, 69, 100
2, 15360, Note_on_c, 0, 69, 0
2, 15360, Note_on_c, 0, 67, 100
2, 15720, Note_on_c, 0, 67, 0
2, 15720, Note_on_c, 0, 65, 100
2, 15840, Note_on_c, 0, 65, 0
2, 15840, Note_on_c, 0, 64, 100
2, 16200, Note_on_c, 0, 64, 0
2, 16200, Note_on_c, 0, 62, 100
2, 16320, Note_on_c, 0, 62, 0
2, 16320, Note_on_c, 0, 64, 100
2, 16680, Note_on_c, 0, 64, 0
2, 16680, Note_on_c, 0, 67, 100
2, 16800, Note_on_c, 0, 67, 0
2, 16800, Note_on_c, 0, 65, 100
2, 17160, Note_on_c, 0, 65, 0
2, 17160, Note_on_c, 0, 64, 100
2, 17280, Note_on_c, 0, 64, 0
2, 17280, Note_on_c, 0, 62, 100
2, 17640, Note_on_c, 0, 62, 0
2, 18720, Note_on_c, 0, 62, 100
2, 18960, Note_on_c, 0, 62, 0
2, 19200, Note_on_c, 0, 61, 100
2, 19440, Note_on_c, 0, 61, 0
2, 20160, Note_on_c, 0, 62, 100
2, 20400, Note_on_c, 0, 62, 0
2, 20520, Note_on_c, 0, 64, 100
