0, 0, Header, 1, 11, 480
1, 0, Start_track
1, 0, Title_t, "Sonate Nr. 23 Op. 57"
1, 0, Title_t, "Appassionata"
1, 0, Copyright_t, "Copyright © 2001 by Bernd Krueger"
1, 0, Text_t, "Ludwig van Beethoven"
1, 0, Text_t, "Allegro ma non troppo"
1, 0, Text_t, "Fertiggestellt am26.11.01\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 30.7.2012\012"
1, 0, Text_t, "Dauer: 7:48 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 430756
1, 0, Marker_t, "Teil 1"
1, 4320, Tempo, 416956
1, 5760, Tempo, 435635
1, 6240, Tempo, 416956
1, 7680, Tempo, 427655
1, 8160, Tempo, 416956
1, 8640, Tempo, 416956
1, 9120, Tempo, 415455
1, 9600, Tempo, 413964
1, 10080, Tempo, 412541
1, 10560, Tempo, 411100
1, 10600, Tempo, 411100
1, 10800, Tempo, 409640
1, 11000, Tempo, 408191
1, 11160, Tempo, 406780
1, 11360, Tempo, 405378
1, 11560, Tempo, 403959
1, 11720, Tempo, 402549
1, 11920, Tempo, 401204
1, 12120, Tempo, 399813
1, 12280, Tempo, 398433
1, 12360, Tempo, 429215
1, 12480, Tempo, 398433
1, 12532, Tempo, 401204
1, 12584, Tempo, 399813
1, 12600, Tempo, 398433
1, 12624, Tempo, 397088
1, 12640, Tempo, 395752
1, 12680, Tempo, 397088
1, 12692, Tempo, 399813
1, 12720, Tempo, 402549
1, 12732, Tempo, 405378
1, 12760, Tempo, 403959
1, 12772, Tempo, 402549
1, 12784, Tempo, 401204
1, 12800, Tempo, 399813
1, 12812, Tempo, 398433
1, 12880, Tempo, 399813
1, 12892, Tempo, 402549
1, 12944, Tempo, 399813
1, 12960, Tempo, 397088
1, 12984, Tempo, 395752
1, 13000, Tempo, 397088
1, 13012, Tempo, 399813
1, 13024, Tempo, 402549
1, 13040, Tempo, 403959
1, 13052, Tempo, 405378
1, 13092, Tempo, 403959
1, 13104, Tempo, 401204
1, 13120, Tempo, 399813
1, 13132, Tempo, 398433
1, 13160, Tempo, 397088
1, 13184, Tempo, 399813
1, 13200, Tempo, 402549
1, 13212, Tempo, 405378
1, 13240, Tempo, 403959
1, 13440, Tempo, 399813
1, 13452, Tempo, 398433
1, 13544, Tempo, 401204
1, 13560, Tempo, 402549
1, 13640, Tempo, 401204
1, 13652, Tempo, 399813
1, 13664, Tempo, 398433
1, 13704, Tempo, 399813
1, 13720, Tempo, 402549
1, 13772, Tempo, 403959
1, 13824, Tempo, 402549
1, 13852, Tempo, 401204
1, 13864, Tempo, 398433
1, 13892, Tempo, 397088
1, 13920, Tempo, 402549
1, 13932, Tempo, 403959
1, 14024, Tempo, 402549
1, 14040, Tempo, 401204
1, 14064, Tempo, 399813
1, 14092, Tempo, 402549
1, 14104, Tempo, 406780
1, 14132, Tempo, 405378
1, 14144, Tempo, 403959
1, 14160, Tempo, 402549
1, 14184, Tempo, 401204
1, 14212, Tempo, 403959
1, 14220, Tempo, 406780
1, 14280, Tempo, 426106
1, 14400, Tempo, 403578
1, 14420, Tempo, 402307
1, 14480, Tempo, 406091
1, 14500, Tempo, 408664
1, 14520, Tempo, 407387
1, 14540, Tempo, 406091
1, 14560, Tempo, 404831
1, 14600, Tempo, 402307
1, 14620, Tempo, 401070
1, 14640, Tempo, 399840
1, 14660, Tempo, 402307
1, 14680, Tempo, 403578
1, 14700, Tempo, 407387
1, 14720, Tempo, 408664
1, 14820, Tempo, 407387
1, 14860, Tempo, 403578
1, 14880, Tempo, 401070
1, 14900, Tempo, 399840
1, 14920, Tempo, 398618
1, 14940, Tempo, 401070
1, 14960, Tempo, 404831
1, 14980, Tempo, 406091
1, 15000, Tempo, 407387
1, 15020, Tempo, 408664
1, 15060, Tempo, 406091
1, 15080, Tempo, 404831
1, 15180, Tempo, 408664
1, 15240, Tempo, 422982
1, 15340, Tempo, 406091
1, 15360, Tempo, 404831
1, 15440, Tempo, 403578
1, 15480, Tempo, 402307
1, 15520, Tempo, 401070
1, 15580, Tempo, 403578
1, 15600, Tempo, 406091
1, 15660, Tempo, 404831
1, 15680, Tempo, 403578
1, 15700, Tempo, 402307
1, 15760, Tempo, 406091
1, 15780, Tempo, 407387
1, 15840, Tempo, 406091
1, 15860, Tempo, 403578
1, 15880, Tempo, 402307
1, 15900, Tempo, 401070
1, 15920, Tempo, 402307
1, 15940, Tempo, 404831
1, 15960, Tempo, 406091
1, 15980, Tempo, 407387
1, 16040, Tempo, 406091
1, 16060, Tempo, 403578
1, 16080, Tempo, 401070
1, 16100, Tempo, 404831
1, 16120, Tempo, 406091
1, 16200, Tempo, 421467
1, 16320, Tempo, 403578
1, 16480, Tempo, 404831
1, 16640, Tempo, 406091
1, 16800, Tempo, 407387
1, 16960, Tempo, 408664
1, 17100, Tempo, 409948
1, 17160, Tempo, 422982
1, 17240, Tempo, 408191
1, 17320, Tempo, 409640
1, 17360, Tempo, 411100
1, 17400, Tempo, 412541
1, 17440, Tempo, 413964
1, 17520, Tempo, 415455
