0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Hammerklaviersonate  2. Satz"
1, 0, Copyright_t, "Copyright © 2008 by Bernd Krueger"
1, 0, Text_t, "Ludwig van Beethoven"
1, 0, Text_t, "Scherzo"
1, 0, Text_t, "Erstellt: 3.5.2008\012"
1, 0, Text_t, "Update: 16.8.2012\012"
1, 0, Text_t, "Dauer: 2:15 Minuten\012"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 500000
1, 480, Tempo, 504202
1, 660, Tempo, 659341
1, 720, Tempo, 506329
1, 1200, Tempo, 504202
1, 1380, Tempo, 659341
1, 1440, Tempo, 506329
1, 1920, Tempo, 504202
1, 2100, Tempo, 659341
1, 2160, Tempo, 506329
1, 2640, Tempo, 504202
1, 2820, Tempo, 652174
1, 2880, Tempo, 506329
1, 3360, Tempo, 504202
1, 3540, Tempo, 659341
1, 3600, Tempo, 506329
1, 4080, Tempo, 504202
1, 4260, Tempo, 652174
1, 4320, Tempo, 519481
1, 4560, Tempo, 571429
1, 4800, Tempo, 609137
1, 5040, Tempo, 625000
1, 5520, Tempo, 504202
1, 5700, Tempo, 659341
1, 5760, Tempo, 506329
1, 6000, Tempo, 521739
1, 6240, Tempo, 504202
1, 6420, Tempo, 659341
1, 6480, Tempo, 506329
1, 6960, Tempo, 504202
1, 7140, Tempo, 659341
1, 7200, Tempo, 506329
1, 7440, Tempo, 517241
1, 7680, Tempo, 504202
1, 7860, Tempo, 652174
1, 7920, Tempo, 506329
1, 8400, Tempo, 504202
1, 8580, Tempo, 659341
1, 8640, Tempo, 506329
1, 8880, Tempo, 524017
1, 9120, Tempo, 504202
1, 9300, Tempo, 652174
1, 9360, Tempo, 519481
1, 9600, Tempo, 571429
1, 9840, Tempo, 609137
1, 10080, Tempo, 641711
1, 10560, Tempo, 504202
1, 10740, Tempo, 659341
1, 10800, Tempo, 506329
1, 11040, Tempo, 524017
1, 11280, Tempo, 504202
1, 11460, Tempo, 659341
1, 11520, Tempo, 506329
1, 12000, Tempo, 504202
1, 12180, Tempo, 659341
1, 12240, Tempo, 506329
1, 12480, Tempo, 530973
1, 12720, Tempo, 504202
1, 12900, Tempo, 659341
1, 12960, Tempo, 506329
1, 13440, Tempo, 504202
1, 13620, Tempo, 659341
1, 13680, Tempo, 506329
1, 14400, Tempo, 524017
1, 15120, Tempo, 560748
1, 15840, Tempo, 618557
1, 17040, Tempo, 504202
1, 17220, Tempo, 659341
1, 17280, Tempo, 506329
1, 17760, Tempo, 504202
1, 17940, Tempo, 659341
1, 18000, Tempo, 506329
1, 18240, Tempo, 535714
1, 18480, Tempo, 504202
1, 18660, Tempo, 659341
1, 18720, Tempo, 506329
1, 19200, Tempo, 504202
1, 19380, Tempo, 659341
1, 19440, Tempo, 506329
1, 19680, Tempo, 530973
1, 19920, Tempo, 504202
1, 20100, Tempo, 659341
1, 20160, Tempo, 506329
1, 20400, Tempo, 517241
1, 20640, Tempo, 504202
1, 20820, Tempo, 652174
1, 20880, Tempo, 519481
1, 21120, Tempo, 571429
1, 21360, Tempo, 609137
1, 21600, Tempo, 641711
1, 22080, Tempo, 504202
1, 22260, Tempo, 659341
1, 22320, Tempo, 506329
1, 22560, Tempo, 524017
1, 22800, Tempo, 504202
1, 22980, Tempo, 659341
1, 23040, Tempo, 506329
1, 23520, Tempo, 504202
1, 23700, Tempo, 659341
1, 23760, Tempo, 506329
1, 24000, Tempo, 524017
1, 24240, Tempo, 504202
1, 24420, Tempo, 659341
1, 24480, Tempo, 506329
1, 24960, Tempo, 504202
1, 25140, Tempo, 659341
1, 25200, Tempo, 506329
1, 25920, Tempo, 524017
1, 26640, Tempo, 560748
1, 27360, Tempo, 618557
1, 28560, Tempo, 504202
1, 28740, Tempo, 659341
1, 28800, Tempo, 506329
1, 29040, Tempo, 533333
1, 29280, Tempo, 504202
1, 29460, Tempo, 659341
1, 29520, Tempo, 506329
1, 29760, Tempo, 524017
1, 30000, Tempo, 504202
1, 30180, Tempo, 659341
1, 30240, Tempo, 506329
1, 30480, Tempo, 524017
1, 30720, Tempo, 504202
1, 30900, Tempo, 659341
1, 30960, Tempo, 506329
1, 31200, Tempo, 519481
1, 31440, Tempo, 504202
1, 31620, Tempo, 659341
