0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Sonate Les adieux 3. Satz"
1, 0, Copyright_t, "Copyright © 2008 by Bernd Krueger"
1, 0, Text_t, "Ludwig van Beethoven"
1, 0, Text_t, "Vivacissimamente"
1, 0, Text_t, "Fertiggestellt: 7.3.2008\012"
1, 0, Text_t, "Update: 9.8.2012\012"
1, 0, Text_t, "Dauer: 5:00 Minuten\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "Teil 1"
1, 240, Tempo, 352941
1, 1320, Tempo, 369231
1, 1440, Tempo, 351906
1, 2760, Tempo, 372671
1, 2880, Tempo, 352941
1, 4200, Tempo, 379747
1, 4320, Tempo, 351906
1, 5640, Tempo, 385852
1, 5760, Tempo, 351906
1, 7080, Tempo, 384615
1, 7200, Tempo, 350877
1, 8520, Tempo, 385852
1, 8640, Tempo, 351906
1, 9960, Tempo, 383387
1, 10080, Tempo, 350877
1, 11400, Tempo, 466056
1, 11520, Tempo, 500000
1, 11760, Tempo, 352941
1, 12840, Tempo, 362538
1, 12960, Tempo, 353982
1, 13200, Tempo, 352941
1, 14280, Tempo, 393443
1, 14400, Tempo, 366972
1, 14400, Marker_t, "Teil 2"
1, 15600, Tempo, 384615
1, 15840, Tempo, 369231
1, 17040, Tempo, 396040
1, 17280, Tempo, 366972
1, 18480, Tempo, 380952
1, 18720, Tempo, 366972
1, 19920, Tempo, 384615
1, 20160, Tempo, 368098
1, 21360, Tempo, 383387
1, 21600, Tempo, 368098
1, 22080, Tempo, 378549
1, 22320, Tempo, 371517
1, 22800, Tempo, 415225
1, 23040, Tempo, 366972
1, 23760, Tempo, 362538
1, 24240, Tempo, 368098
1, 24360, Tempo, 387097
1, 24480, Tempo, 369231
1, 25680, Tempo, 396040
1, 25920, Tempo, 366972
1, 26640, Tempo, 363636
1, 27120, Tempo, 365854
1, 27240, Tempo, 394737
1, 27360, Tempo, 366972
1, 28560, Tempo, 384615
1, 28800, Tempo, 368098
1, 29520, Tempo, 362538
1, 30000, Tempo, 383387
1, 30240, Tempo, 368098
1, 30720, Tempo, 378549
1, 30960, Tempo, 364742
1, 31440, Tempo, 393443
1, 31680, Tempo, 366972
1, 32400, Tempo, 362538
1, 32880, Tempo, 368098
1, 33000, Tempo, 387097
1, 33120, Tempo, 369231
1, 34320, Tempo, 396040
1, 34560, Tempo, 366972
1, 35280, Tempo, 363636
1, 35760, Tempo, 365854
1, 35880, Tempo, 394737
1, 36000, Tempo, 366972
1, 37200, Tempo, 384615
1, 37440, Tempo, 368098
1, 38160, Tempo, 362538
1, 38640, Tempo, 383387
1, 38880, Tempo, 368098
1, 39360, Tempo, 378549
1, 39600, Tempo, 364742
1, 40080, Tempo, 393443
1, 40560, Tempo, 385852
1, 41040, Tempo, 377358
1, 42480, Tempo, 369231
1, 43080, Tempo, 404040
1, 43200, Tempo, 375000
1, 43440, Tempo, 373832
1, 44520, Tempo, 406780
1, 44640, Tempo, 375000
1, 45120, Tempo, 370370
1, 45960, Tempo, 437956
1, 46080, Tempo, 393443
1, 46320, Tempo, 385852
1, 46800, Tempo, 377358
1, 48240, Tempo, 369231
1, 48840, Tempo, 404040
1, 48960, Tempo, 375000
1, 49200, Tempo, 373832
1, 50280, Tempo, 406780
1, 50400, Tempo, 375000
1, 50880, Tempo, 370370
1, 51720, Tempo, 415225
