0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grande Sonata Opus 22 2. movement"
1, 0, Copyright_t, "Copyright © 2009 by Bernd Krueger"
1, 0, Text_t, "Ludwig van Beethoven"
1, 0, Text_t, "Adagio con molta espressione"
1, 0, Text_t, "Erstellt: 18.10.2009\012"
1, 0, Text_t, "Update: 28.5.2012\012"
1, 0, Text_t, "Dauer: 5:21 Minuten\012"
1, 0, Time_signature, 9, 3, 12, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 921659
1, 2040, Tempo, 998336
1, 2160, Tempo, 914634
1, 3840, Tempo, 887574
1, 4200, Tempo, 981997
1, 4320, Tempo, 907716
1, 4680, Tempo, 881057
1, 5040, Tempo, 914634
1, 6360, Tempo, 966184
1, 6480, Tempo, 907716
1, 7800, Tempo, 894188
1, 8520, Tempo, 998336
1, 8640, Tempo, 907716
1, 10200, Tempo, 881057
1, 10680, Tempo, 974026
1, 10800, Tempo, 900901
1, 12720, Tempo, 923077
1, 12960, Tempo, 895522
1, 13440, Tempo, 930233
1, 13680, Tempo, 888889
1, 15000, Tempo, 1043478
1, 15120, Tempo, 916031
1, 15360, Tempo, 882353
1, 16560, Tempo, 916031
1, 16800, Tempo, 875912
1, 17040, Tempo, 952381
1, 17280, Tempo, 902256
1, 17520, Tempo, 875912
1, 18480, Tempo, 888889
1, 18720, Tempo, 869565
1, 19200, Tempo, 909091
1, 19440, Tempo, 930233
1, 19680, Tempo, 882353
1, 20160, Tempo, 916031
1, 20400, Tempo, 875912
1, 20872, Tempo, 882353
1, 20875, Tempo, 916031
1, 21115, Tempo, 875912
1, 21360, Tempo, 916031
1, 21600, Tempo, 916031
1, 22080, Tempo, 967742
1, 22320, Tempo, 909091
1, 22800, Tempo, 952381
1, 23040, Tempo, 916031
1, 23520, Tempo, 1363636
1, 23760, Tempo, 1263158
1, 25200, Tempo, 967742
1, 26160, Tempo, 937500
1, 26400, Tempo, 960000
1, 26640, Tempo, 967742
1, 26880, Tempo, 944882
1, 27120, Tempo, 967742
1, 27360, Tempo, 909091
1, 27600, Tempo, 960000
1, 27835, Tempo, 875912
1, 27840, Tempo, 1153846
1, 28080, Tempo, 952381
1, 29520, Tempo, 967742
1, 30480, Tempo, 937500
1, 30720, Tempo, 960000
1, 30960, Tempo, 967742
1, 31200, Tempo, 944882
1, 31440, Tempo, 967742
1, 31680, Tempo, 944882
1, 31920, Tempo, 960000
1, 32155, Tempo, 875912
1, 32160, Tempo, 983607
1, 32400, Tempo, 952381
1, 33120, Tempo, 930233
1, 33360, Tempo, 896861
1, 33600, Tempo, 909091
1, 33840, Tempo, 930233
1, 34080, Tempo, 896861
1, 34320, Tempo, 902256
1, 34560, Tempo, 937500
1, 34800, Tempo, 890208
1, 35040, Tempo, 902256
1, 35280, Tempo, 923077
1, 35520, Tempo, 888889
1, 35760, Tempo, 895522
1, 36000, Tempo, 930233
1, 36240, Tempo, 890208
1, 36480, Tempo, 923077
1, 37920, Tempo, 952381
1, 38160, Tempo, 916031
1, 38640, Tempo, 869565
1, 38760, Tempo, 960000
1, 38880, Tempo, 916031
1, 39360, Tempo, 882353
1, 39480, Tempo, 930233
