0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Sonata No.14 in cis-Moll, Op. 27/2 - 2. Satz"
1, 0, Title_t, "Mondscheinsonate; der Gräfin Giulietta Guiccardi gewidmet"
1, 0, Copyright_t, "Copyright Bernd Krueger  http://www.piano-midi.de"
1, 0, Text_t, "Ludwig van Beethoven"
1, 0, Text_t, "Fertiggestellt am 25.10.97\012"
1, 0, Text_t, "Pan's auf Standard am 18.1.98\012"
1, 0, Text_t, "Tempoänderungen am 31.1.98\012"
1, 0, Text_t, "Update am 17.8.99\012"
1, 0, Text_t, "Update am 8.1.00\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 5.6.2012\012"
1, 0, Text_t, "Dauer: 2:04 Minuten\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 285714
1, 960, Marker_t, "Allegretto"
1, 1440, Tempo, 286205
1, 2400, Tempo, 288962
1, 3840, Tempo, 278966
1, 4320, Tempo, 282247
1, 4800, Tempo, 280191
1, 5280, Tempo, 287770
1, 6720, Tempo, 286205
1, 8160, Tempo, 288962
1, 9600, Tempo, 279616
1, 10080, Tempo, 282912
1, 10560, Tempo, 280846
1, 11040, Tempo, 287770
1, 12480, Tempo, 280767
1, 12960, Tempo, 284091
1, 13440, Tempo, 284172
1, 13920, Tempo, 287577
1, 14400, Tempo, 283688
1, 15360, Tempo, 283514
1, 16800, Tempo, 282832
1, 18240, Tempo, 287577
1, 19680, Tempo, 288962
1, 20160, Tempo, 282353
1, 21120, Tempo, 283514
1, 22560, Tempo, 284846
1, 24000, Tempo, 286205
1, 26880, Tempo, 291050
1, 29768, Tempo, 286205
1, 29912, Tempo, 287577
1, 29992, Tempo, 288962
1, 30080, Tempo, 290360
1, 30264, Tempo, 291744
1, 30320, Tempo, 293169
1, 30376, Tempo, 294623
1, 30408, Tempo, 296092
1, 30448, Tempo, 297545
1, 30472, Tempo, 299013
1, 30520, Tempo, 300511
1, 30544, Tempo, 302039
1, 30592, Tempo, 303567
1, 30624, Tempo, 305095
1, 30688, Tempo, 306654
1, 30752, Tempo, 308214
1, 30816, Tempo, 309805
1, 30992, Tempo, 311429
1, 31056, Tempo, 313054
1, 31080, Tempo, 314680
1, 31128, Tempo, 316339
1, 31184, Tempo, 318016
1, 31216, Tempo, 319693
1, 31264, Tempo, 321423
1, 31328, Tempo, 323137
1, 31352, Tempo, 324886
1, 31400, Tempo, 326655
1, 31448, Tempo, 328443
1, 31472, Tempo, 330233
1, 31512, Tempo, 332079
1, 31576, Tempo, 333927
1, 33112, Tempo, 286205
1, 34080, Tempo, 319693
1, 35040, Tempo, 355661
1, 35528, Tempo, 286205
1, 36960, Tempo, 288962
1, 38400, Tempo, 276396
1, 38880, Tempo, 280925
1, 39360, Tempo, 278888
1, 39840, Tempo, 282194
1, 41280, Tempo, 286889
1, 42720, Tempo, 288268
1, 44160, Tempo, 277034
1, 44640, Tempo, 284252
1, 45120, Tempo, 279460
1, 45600, Tempo, 288268
1, 47080, Tempo, 286232
1, 47440, Tempo, 287577
1, 47464, Tempo, 288962
1, 47512, Tempo, 290360
1, 47672, Tempo, 291744
1, 47776, Tempo, 293169
1, 47824, Tempo, 294623
1, 47864, Tempo, 296092
1, 47928, Tempo, 297545
1, 47976, Tempo, 299013
1, 47992, Tempo, 300511
1, 48040, Tempo, 302039
1, 48056, Tempo, 303567
1, 48088, Tempo, 305095
1, 48112, Tempo, 306654
1, 48144, Tempo, 308214
1, 48208, Tempo, 311429
1, 48232, Tempo, 313054
1, 48264, Tempo, 314680
1, 48288, Tempo, 316339
1, 48336, Tempo, 318016
1, 48368, Tempo, 321423
1, 48392, Tempo, 323137
1, 48424, Tempo, 324886
1, 48432, Tempo, 326655
1, 48456, Tempo, 328443
1, 48488, Tempo, 330233
1, 48536, Tempo, 332079
1, 48560, Tempo, 333927
1, 48600, Tempo, 335777
1, 48624, Tempo, 337667
1, 48648, Tempo, 339559
1, 48672, Tempo, 341491
1, 48688, Tempo, 343446
1, 48712, Tempo, 345443
1, 48768, Tempo, 347443
1, 48816, Tempo, 349447
1, 48864, Tempo, 351494
1, 48880, Tempo, 353565
1, 48904, Tempo, 353565
1, 49000, Tempo, 355661
1, 51360, Tempo, 384074
1, 51848, Tempo, 286205
1, 52320, Tempo, 341491
1, 52800, Tempo, 291744
1, 54240, Tempo, 288962
1, 55680, Tempo, 294623
1, 58568, Tempo, 286205
1, 58712, Tempo, 287577
1, 58792, Tempo, 288962
1, 58880, Tempo, 290360
1, 59064, Tempo, 291744
1, 59120, Tempo, 293169
1, 59176, Tempo, 294623
1, 59208, Tempo, 296092
1, 59248, Tempo, 297545
1, 59272, Tempo, 299013
1, 59320, Tempo, 300511
1, 59344, Tempo, 302039
1, 59392, Tempo, 303567
1, 59424, Tempo, 305095
1, 59488, Tempo, 306654
1, 59552, Tempo, 308214
1, 59616, Tempo, 309805
1, 59792, Tempo, 311429
1, 59856, Tempo, 313054
1, 59880, Tempo, 314680
1, 59928, Tempo, 316339
1, 59984, Tempo, 318016
1, 60016, Tempo, 319693
1, 60064, Tempo, 321423
1, 60128, Tempo, 323137
1, 60152, Tempo, 324886
1, 60200, Tempo, 326655
1, 60248, Tempo, 328443
1, 60272, Tempo, 330233
1, 60312, Tempo, 332079
1, 60376, Tempo, 333927
1, 61912, Tempo, 286205
1, 62880, Tempo, 320564
1, 63840, Tempo, 334840
1, 64328, Tempo, 286205
1, 65760, Tempo, 288962
1, 66240, Tempo, 284360
1, 67200, Tempo, 277675
1, 67680, Tempo, 282912
1, 68640, Tempo, 278810
1, 69120, Tempo, 282087
1, 70080, Tempo, 286889
1, 71520, Tempo, 283019
1, 72960, Tempo, 278966
1, 73440, Tempo, 285605
1, 73920, Tempo, 282752
1, 74400, Tempo, 288268
1, 76240, Tempo, 287577
1, 76264, Tempo, 288962
1, 76312, Tempo, 290360
1, 76472, Tempo, 291744
1, 76576, Tempo, 293169
1, 76624, Tempo, 294623
1, 76664, Tempo, 296092
1, 76728, Tempo, 297545
1, 76776, Tempo, 299013
1, 76792, Tempo, 300511
1, 76840, Tempo, 302039
1, 76856, Tempo, 303567
1, 76888, Tempo, 305095
1, 76912, Tempo, 306654
1, 76944, Tempo, 308214
1, 77008, Tempo, 311429
1, 77032, Tempo, 313054
1, 77064, Tempo, 314680
1, 77088, Tempo, 316339
1, 77136, Tempo, 318016
1, 77168, Tempo, 321423
1, 77192, Tempo, 323137
1, 77224, Tempo, 324886
1, 77232, Tempo, 326655
1, 77256, Tempo, 328443
1, 77288, Tempo, 330233
1, 77336, Tempo, 332079
1, 77360, Tempo, 333927
1, 77400, Tempo, 335777
1, 77424, Tempo, 337667
1, 77448, Tempo, 339559
1, 77472, Tempo, 341491
1, 77488, Tempo, 343446
1, 77512, Tempo, 345443
1, 77568, Tempo, 347443
1, 77616, Tempo, 349447
1, 77664, Tempo, 351494
1, 77680, Tempo, 353565
1, 77704, Tempo, 353565
1, 77800, Tempo, 355661
1, 79200, Tempo, 365386
1, 80160, Tempo, 414536
1, 80640, Tempo, 353565
1, 81600, Tempo, 290360
1, 81600, Marker_t, "Trio"
1, 84480, Tempo, 279538
1, 86880, Tempo, 299775
1, 87360, Tempo, 290360
1, 90240, Tempo, 278267
1, 92640, Tempo, 299013
1, 93120, Tempo, 289645
1, 96000, Tempo, 279538
1, 98400, Tempo, 296809
1, 98880, Tempo, 286205
1, 101760, Tempo, 289645
1, 104160, Tempo, 305095
1, 104640, Tempo, 289645
1, 113280, Tempo, 284185
1, 116160, Tempo, 287577
1, 125760, Tempo, 318016
1, 126720, Tempo, 288962
1, 132480, Tempo, 285714
1, 136320, Tempo, 282832
1, 139200, Tempo, 287577
1, 148800, Tempo, 311429
1, 150720, Tempo, 286205
1, 150720, Marker_t, "Allegretto D.C."
1, 152160, Tempo, 288962
1, 153600, Tempo, 278888
1, 154080, Tempo, 282912
1, 154560, Tempo, 278966
1, 155040, Tempo, 289855
1, 156000, Tempo, 286205
1, 157920, Tempo, 288962
1, 159360, Tempo, 280269
1, 159840, Tempo, 282247
1, 160320, Tempo, 279616
1, 160800, Tempo, 288462
1, 162240, Tempo, 279616
1, 162720, Tempo, 286287
1, 163680, Tempo, 288268
1, 164160, Tempo, 285036
1, 165120, Tempo, 277034
1, 165600, Tempo, 281584
1, 166560, Tempo, 281030
1, 168000, Tempo, 286205
1, 169440, Tempo, 288268
1, 169920, Tempo, 281030
1, 170880, Tempo, 284185
1, 173280, Tempo, 310623
1, 173760, Tempo, 288268
1, 176640, Tempo, 291744
1, 179528, Tempo, 286205
1, 179672, Tempo, 287577
1, 179752, Tempo, 288962
1, 179840, Tempo, 290360
1, 180024, Tempo, 291744
1, 180080, Tempo, 293169
1, 180136, Tempo, 294623
1, 180168, Tempo, 296092
1, 180208, Tempo, 297545
1, 180232, Tempo, 299013
1, 180280, Tempo, 300511
1, 180304, Tempo, 302039
1, 180352, Tempo, 303567
1, 180384, Tempo, 305095
1, 180448, Tempo, 306654
1, 180512, Tempo, 308214
1, 180576, Tempo, 309805
1, 180752, Tempo, 311429
1, 180816, Tempo, 313054
1, 180840, Tempo, 314680
1, 180888, Tempo, 316339
1, 180944, Tempo, 318016
1, 180976, Tempo, 319693
1, 181024, Tempo, 321423
1, 181088, Tempo, 323137
1, 181112, Tempo, 324886
1, 181160, Tempo, 326655
1, 181208, Tempo, 328443
1, 181232, Tempo, 330233
1, 181272, Tempo, 332079
1, 181336, Tempo, 333927
1, 182872, Tempo, 286205
1, 183840, Tempo, 304321
1, 184800, Tempo, 320564
1, 185288, Tempo, 286205
1, 186720, Tempo, 288962
1, 188160, Tempo, 274499
1, 188640, Tempo, 280925
1, 189600, Tempo, 276396
1, 190080, Tempo, 280269
1, 191040, Tempo, 286889
1, 192480, Tempo, 289645
1, 193440, Tempo, 286205
1, 193920, Tempo, 280925
1, 194400, Tempo, 285605
1, 195360, Tempo, 288962
1, 196808, Tempo, 252525
1, 196816, Tempo, 286205
1, 197200, Tempo, 287577
1, 197224, Tempo, 288962
1, 197272, Tempo, 290360
1, 197432, Tempo, 291744
1, 197536, Tempo, 293169
1, 197584, Tempo, 294623
1, 197624, Tempo, 296092
1, 197688, Tempo, 297545
1, 197736, Tempo, 299013
1, 197752, Tempo, 300511
1, 197800, Tempo, 302039
1, 197816, Tempo, 303567
1, 197848, Tempo, 305095
1, 197872, Tempo, 306654
1, 197904, Tempo, 308214
1, 197968, Tempo, 311429
1, 197992, Tempo, 313054
1, 198024, Tempo, 314680
1, 198048, Tempo, 316339
1, 198096, Tempo, 318016
1, 198128, Tempo, 321423
1, 198152, Tempo, 323137
1, 198184, Tempo, 324886
1, 198192, Tempo, 326655
1, 198216, Tempo, 328443
1, 198248, Tempo, 330233
1, 198296, Tempo, 332079
1, 198320, Tempo, 333927
1, 198360, Tempo, 335777
1, 198384, Tempo, 337667
1, 198408, Tempo, 339559
1, 198432, Tempo, 341491
1, 198448, Tempo, 343446
1, 198472, Tempo, 345443
1, 198528, Tempo, 347443
1, 198576, Tempo, 349447
1, 198624, Tempo, 351494
1, 198640, Tempo, 353565
1, 198664, Tempo, 353565
1, 198760, Tempo, 355661
1, 201120, Tempo, 430880
1, 201600, Tempo, 667928
1, 202080, Tempo, 667928
1, 202080, End_track
2, 0, Start_track
2, 0, Title_t, "PIano right "
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 64
2, 0, Control_c, 0, 91, 127
2, 0, Text_t, "bdca426d104a26ac9dcb070447587523"
2, 959, Control_c, 0, 91, 127
2, 960, Note_on_c, 0, 68, 62
2, 960, Note_on_c, 0, 73, 62
2, 1440, Note_on_c, 0, 73, 0
2, 1440, Note_on_c, 0, 68, 0
2, 1441, Note_on_c, 0, 72, 65
2, 1441, Note_on_c, 0, 68, 65
2, 2400, Note_on_c, 0, 67, 58
2, 2400, Note_on_c, 0, 70, 58
2, 2401, Note_on_c, 0, 68, 0
2, 2401, Note_on_c, 0, 72, 0
2, 2880, Note_on_c, 0, 67, 0
2, 2880, Note_on_c, 0, 70, 0
2, 2880, Note_on_c, 0, 68, 54
2, 2880, Note_on_c, 0, 75, 54
2, 2970, Note_on_c, 0, 75, 0
2, 2970, Note_on_c, 0, 68, 0
2, 3840, Note_on_c, 0, 65, 53
2, 3840, Note_on_c, 0, 73, 53
2, 3930, Note_on_c, 0, 73, 0
2, 3930, Note_on_c, 0, 65, 0
2, 4320, Note_on_c, 0, 68, 53
2, 4320, Note_on_c, 0, 72, 53
2, 4410, Note_on_c, 0, 72, 0
2, 4410, Note_on_c, 0, 68, 0
2, 5280, Note_on_c, 0, 67, 52
2, 5280, Note_on_c, 0, 70, 52
2, 5370, Note_on_c, 0, 70, 0
2, 5370, Note_on_c, 0, 67, 0
2, 5760, Note_on_c, 0, 68, 51
2, 5850, Note_on_c, 0, 68, 0
2, 6720, Note_on_c, 0, 73, 65
2, 6720, Note_on_c, 0, 78, 65
2, 7200, Note_on_c, 0, 78, 0
2, 7200, Note_on_c, 0, 73, 0
2, 7200, Note_on_c, 0, 73, 65
2, 7200, Note_on_c, 0, 77, 65
2, 8160, Note_on_c, 0, 77, 0
2, 8160, Note_on_c, 0, 73, 0
2, 8160, Note_on_c, 0, 72, 61
2, 8160, Note_on_c, 0, 75, 61
2, 8640, Note_on_c, 0, 75, 0
2, 8640, Note_on_c, 0, 72, 0
2, 8640, Note_on_c, 0, 73, 56
2, 8640, Note_on_c, 0, 80, 56
2, 8730, Note_on_c, 0, 80, 0
2, 8730, Note_on_c, 0, 73, 0
2, 9600, Note_on_c, 0, 70, 55
2, 9600, Note_on_c, 0, 78, 55
2, 9690, Note_on_c, 0, 78, 0
2, 9690, Note_on_c, 0, 70, 0
2, 10080, Note_on_c, 0, 73, 55
2, 10080, Note_on_c, 0, 77, 55
2, 10170, Note_on_c, 0, 77, 0
2, 10170, Note_on_c, 0, 73, 0
2, 11040, Note_on_c, 0, 72, 53
2, 11040, Note_on_c, 0, 75, 53
2, 11130, Note_on_c, 0, 75, 0
2, 11130, Note_on_c, 0, 72, 0
2, 11520, Note_on_c, 0, 73, 50
2, 11610, Note_on_c, 0, 73, 0
2, 12480, Note_on_c, 0, 61, 65
2, 12480, Note_on_c, 0, 73, 65
2, 13440, Note_on_c, 0, 73, 0
2, 13440, Note_on_c, 0, 61, 0
2, 13440, Note_on_c, 0, 60, 65
2, 13440, Note_on_c, 0, 72, 65
2, 13920, Note_on_c, 0, 72, 0
2, 13920, Note_on_c, 0, 60, 0
2, 13920, Note_on_c, 0, 58, 65
2, 13920, Note_on_c, 0, 70, 65
2, 14400, Note_on_c, 0, 58, 0
2, 14400, Note_on_c, 0, 63, 65
2, 14880, Note_on_c, 0, 63, 0
2, 14880, Note_on_c, 0, 70, 0
2, 14880, Note_on_c, 0, 75, 65
2, 15000, Note_on_c, 0, 75, 0
2, 15360, Note_on_c, 0, 73, 62
2, 15360, Note_on_c, 0, 65, 62
2, 15840, Note_on_c, 0, 65, 0
2, 15840, Note_on_c, 0, 68, 62
2, 16320, Note_on_c, 0, 68, 0
2, 16320, Note_on_c, 0, 73, 0
2, 16320, Note_on_c, 0, 72, 62
2, 16800, Note_on_c, 0, 72, 0
2, 16800, Note_on_c, 0, 67, 58
2, 16800, Note_on_c, 0, 70, 58
2, 17280, Note_on_c, 0, 67, 0
2, 17760, Note_on_c, 0, 70, 0
2, 17760, Note_on_c, 0, 68, 56
2, 18000, Note_on_c, 0, 68, 0
2, 18240, Note_on_c, 0, 66, 66
2, 18240, Note_on_c, 0, 78, 66
2, 19200, Note_on_c, 0, 78, 0
2, 19200, Note_on_c, 0, 66, 0
2, 19200, Note_on_c, 0, 65, 65
2, 19200, Note_on_c, 0, 77, 65
2, 19680, Note_on_c, 0, 77, 0
2, 19680, Note_on_c, 0, 65, 0
2, 19680, Note_on_c, 0, 63, 65
2, 19680, Note_on_c, 0, 75, 65
2, 20160, Note_on_c, 0, 63, 0
2, 20160, Note_on_c, 0, 68, 73
2, 20640, Note_on_c, 0, 68, 0
2, 20640, Note_on_c, 0, 75, 0
