0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Beethoven Sonata No. 8 in C minor ""Pathetique"""
1, 0, Title_t, "3. Movement"
1, 0, Copyright_t, "Copyright © 2003 by Bernd Krueger "
1, 0, Text_t, "Ludwig van Beethoven"
1, 0, Text_t, "Rondo"
1, 0, Text_t, "Fertiggestellt am 30.12.2003\012"
1, 0, Text_t, "Update am 20.12.2011\012"
1, 0, Text_t, "Update am 21.5.2012\012"
1, 0, Text_t, "Dauer: 4:19 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 289869
1, 1200, Tempo, 296604
1, 1680, Tempo, 315623
1, 1920, Tempo, 289869
1, 2160, Tempo, 292912
1, 2640, Tempo, 309821
1, 2880, Tempo, 289324
1, 3120, Tempo, 292912
1, 3600, Tempo, 308230
1, 3840, Tempo, 289869
1, 4560, Tempo, 298151
1, 4760, Tempo, 289869
1, 6480, Tempo, 314795
1, 6720, Tempo, 311462
1, 8640, Tempo, 289869
1, 9360, Tempo, 321096
1, 9480, Tempo, 296457
1, 9600, Tempo, 289869
1, 9840, Tempo, 293643
1, 10560, Tempo, 288628
1, 11280, Tempo, 318150
1, 11400, Tempo, 296457
1, 11520, Tempo, 289869
1, 11760, Tempo, 293643
1, 12480, Tempo, 289324
1, 13200, Tempo, 298151
1, 13440, Tempo, 289869
1, 13680, Tempo, 292912
1, 14400, Tempo, 289324
1, 14640, Tempo, 292198
1, 15120, Tempo, 299865
1, 15360, Tempo, 306623
1, 15600, Tempo, 297295
1, 15840, Tempo, 306905
1, 16320, Tempo, 290051
1, 17040, Tempo, 321096
1, 17160, Tempo, 296457
1, 17280, Tempo, 289869
1, 17520, Tempo, 293643
1, 18240, Tempo, 288628
1, 18960, Tempo, 318150
1, 19080, Tempo, 296457
1, 19200, Tempo, 289869
1, 19440, Tempo, 293643
1, 20160, Tempo, 289324
