0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Beethoven Sonata No. 21 in C major"
1, 0, Title_t, "2. Movement"
1, 0, Copyright_t, "Copyright © 2003 by Bernd Krueger "
1, 0, Text_t, "Ludwig van Beethoven"
1, 0, Text_t, "Adagio molto"
1, 0, Text_t, "Fertiggestellt am 28.11.2003\012"
1, 0, Text_t, "Update am 25.6.2012\012"
1, 0, Text_t, "Dauer: 4:09 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 3000000
1, 420, Tempo, 3333333
1, 480, Tempo, 3000000
1, 1140, Tempo, 3333333
1, 1200, Tempo, 3000000
1, 1680, Tempo, 2857143
1, 1920, Tempo, 3000000
1, 3300, Tempo, 3243243
1, 3360, Tempo, 3000000
1, 4020, Tempo, 3636364
1, 4080, Tempo, 3000000
1, 4560, Tempo, 2857143
1, 4800, Tempo, 3000000
1, 6120, Tempo, 2790698
1, 6180, Tempo, 3260870
1, 6240, Tempo, 3000000
1, 6720, Tempo, 2857143
1, 6900, Tempo, 3428571
1, 6960, Tempo, 3000000
1, 7440, Tempo, 2790698
1, 7680, Tempo, 3157895
1, 7920, Tempo, 3000000
1, 8880, Tempo, 2690583
1, 9120, Tempo, 3076923
1, 9340, Tempo, 3000000
1, 10080, Tempo, 2690583
1, 10320, Tempo, 3000000
1, 10800, Tempo, 2857143
1, 11040, Tempo, 3000000
1, 11520, Tempo, 3157895
1, 11760, Tempo, 2803738
1, 12240, Tempo, 3000000
1, 12720, Tempo, 2727273
1, 13680, Tempo, 2926829
1, 13800, Tempo, 2666667
1, 14040, Tempo, 2727273
1, 14400, Tempo, 2727273
1, 14880, Tempo, 2790698
1, 15000, Tempo, 2727273
1, 15600, Tempo, 2727273
1, 15780, Tempo, 3157895
1, 15840, Tempo, 2608696
1, 15960, Tempo, 2727273
1, 16440, Tempo, 2790698
1, 16560, Tempo, 3076923
1, 16680, Tempo, 2727273
