0, 0, Header, 1, 20, 120
1, 0, Start_track
1, 0, Title_t, "La Flûte Enchantée (Die Zauberflöte) - W.A. Mozart"
1, 0, Title_t, "Acte II, Aria N°14"
1, 0, Copyright_t, "© Eric Stéphan - Mars 1995"
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 387097
1, 0, Marker_t, "© Eric Stéphan - Mars 1995"
1, 0, Marker_t, "Sequenced with Cakewalk 3.0 and a Roland SCB-55"
1, 0, Marker_t, """La Flûte Enchantée"" W.A. Mozart (Acte II, Aria)"
1, 9850, Tempo, 387097
1, 9860, Tempo, 389610
1, 9873, Tempo, 392157
1, 9883, Tempo, 394737
1, 9893, Tempo, 397351
1, 9906, Tempo, 400000
1, 9916, Tempo, 402685
1, 9926, Tempo, 405405
1, 9940, Tempo, 408163
1, 9950, Tempo, 410959
1, 9960, Tempo, 413793
1, 13466, Tempo, 416667
1, 13490, Tempo, 419580
1, 13513, Tempo, 422535
1, 13536, Tempo, 425532
1, 13560, Tempo, 428571
1, 15480, Tempo, 428571
1, 15490, Tempo, 425532
1, 15496, Tempo, 422535
1, 15506, Tempo, 419580
1, 15513, Tempo, 416667
1, 15520, Tempo, 413793
1, 15530, Tempo, 410959
1, 15536, Tempo, 408163
1, 15546, Tempo, 405405
1, 15553, Tempo, 402685
1, 15560, Tempo, 400000
1, 15570, Tempo, 397351
1, 15576, Tempo, 394737
1, 15586, Tempo, 392157
1, 15593, Tempo, 389610
1, 15600, Tempo, 387097
1, 16813, Tempo, 387097
1, 16823, Tempo, 389610
1, 16833, Tempo, 392157
1, 16846, Tempo, 394737
1, 16856, Tempo, 397351
1, 16866, Tempo, 400000
1, 16876, Tempo, 402685
1, 16890, Tempo, 405405
1, 16900, Tempo, 408163
1, 16910, Tempo, 410959
1, 16920, Tempo, 413793
1, 18720, Tempo, 413793
1, 18743, Tempo, 416667
1, 18766, Tempo, 419580
1, 18790, Tempo, 422535
1, 18813, Tempo, 425532
1, 18836, Tempo, 428571
1, 20760, Tempo, 425532
1, 20770, Tempo, 422535
1, 20776, Tempo, 419580
1, 20786, Tempo, 416667
1, 20793, Tempo, 413793
1, 20803, Tempo, 410959
1, 20810, Tempo, 408163
1, 20820, Tempo, 405405
1, 20826, Tempo, 402685
1, 20836, Tempo, 400000
1, 20843, Tempo, 397351
1, 20853, Tempo, 394737
1, 20860, Tempo, 392157
1, 20870, Tempo, 389610
1, 20876, Tempo, 387097
1, 32640, Tempo, 387097
1, 32710, Tempo, 389610
1, 32780, Tempo, 392157
1, 32846, Tempo, 394737
1, 32916, Tempo, 397351
1, 32983, Tempo, 400000
1, 33053, Tempo, 402685
1, 33120, Tempo, 405405
1, 38400, Tempo, 405405
1, 38470, Tempo, 402685
1, 38540, Tempo, 400000
1, 38606, Tempo, 397351
1, 38676, Tempo, 394737
1, 38743, Tempo, 392157
1, 38813, Tempo, 389610
1, 38880, Tempo, 387097
1, 40800, Tempo, 387097
1, 40850, Tempo, 389610
1, 40896, Tempo, 392157
1, 40946, Tempo, 394737
1, 40993, Tempo, 397351
1, 41040, Tempo, 400000
1, 41090, Tempo, 402685
1, 41136, Tempo, 405405
1, 41186, Tempo, 408163
1, 41233, Tempo, 410959
1, 41280, Tempo, 413793
1, 41330, Tempo, 416667
1, 41376, Tempo, 419580
1, 41426, Tempo, 422535
1, 41473, Tempo, 425532
1, 41520, Tempo, 428571
1, 41570, Tempo, 431655
1, 41616, Tempo, 434783
1, 41666, Tempo, 437956
1, 41713, Tempo, 441176
1, 41760, Tempo, 444444
1, 41996, Tempo, 759494
1, 42223, Tempo, 444444
1, 46083, Tempo, 444444
1, 46110, Tempo, 441176
1, 46133, Tempo, 437956
1, 46156, Tempo, 434783
1, 46180, Tempo, 431655
1, 46203, Tempo, 428571
1, 46226, Tempo, 425532
1, 46250, Tempo, 422535
1, 46273, Tempo, 419580
1, 46296, Tempo, 416667
1, 46320, Tempo, 413793
1, 46346, Tempo, 410959
1, 46370, Tempo, 408163
1, 46393, Tempo, 405405
1, 46416, Tempo, 402685
1, 46440, Tempo, 400000
1, 46463, Tempo, 397351
1, 46486, Tempo, 394737
1, 46510, Tempo, 392157
1, 46533, Tempo, 389610
1, 46556, Tempo, 387097
1, 46556, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Reine de la Nuit (Piano 2)"
2, 10, MIDI_port, 0
2, 10, System_exclusive, 25, 65, 16, 66, 18, 64, 1, 16, 0, 1, 1, 2, 2, 4, 4, 2, 1, 0, 3, 3, 1, 1, 1, 0, 21, 247
2, 10, MIDI_port, 0
2, 212, Control_c, 0, 0, 0
2, 212, Program_c, 0, 1
2, 213, Control_c, 0, 7, 120
2, 214, Control_c, 0, 10, 64
2, 215, Control_c, 0, 11, 127
2, 216, Control_c, 0, 91, 60
2, 217, Control_c, 0, 93, 10
2, 218, Control_c, 0, 99, 1
2, 218, Control_c, 0, 98, 32
2, 218, Control_c, 0, 6, 64
2, 218, Control_c, 0, 38, 0
2, 219, Control_c, 0, 99, 1
2, 219, Control_c, 0, 98, 33
2, 219, Control_c, 0, 6, 64
2, 219, Control_c, 0, 38, 0
2, 220, Control_c, 0, 99, 1
2, 220, Control_c, 0, 98, 99
2, 220, Control_c, 0, 6, 64
2, 220, Control_c, 0, 38, 0
2, 1260, Note_on_c, 0, 69, 102
2, 1260, Lyric_t, "Der "
2, 1319, Note_on_c, 0, 69, 0
2, 1320, Note_on_c, 0, 69, 100
2, 1320, Lyric_t, "Höl"
2, 1379, Note_on_c, 0, 69, 0
2, 1380, Note_on_c, 0, 69, 99
2, 1380, Lyric_t, "le "
2, 1439, Note_on_c, 0, 69, 0
2, 1440, Note_on_c, 0, 74, 125
2, 1440, Lyric_t, "Ra"
2, 1619, Note_on_c, 0, 74, 0
2, 1620, Note_on_c, 0, 69, 101
2, 1620, Lyric_t, "che "
2, 1679, Note_on_c, 0, 69, 0
2, 1680, Note_on_c, 0, 77, 125
2, 1680, Lyric_t, "kocht "
2, 1739, Note_on_c, 0, 77, 0
2, 1740, Note_on_c, 0, 77, 124
2, 1740, Lyric_t, "in "
2, 1799, Note_on_c, 0, 77, 0
2, 1800, Note_on_c, 0, 76, 118
2, 1800, Lyric_t, "mei"
2, 1859, Note_on_c, 0, 76, 0
2, 1860, Note_on_c, 0, 76, 109
2, 1860, Lyric_t, "nem "
2, 1919, Note_on_c, 0, 76, 0
2, 1920, Note_on_c, 0, 74, 100
2, 1920, Lyric_t, "Her"
2, 2039, Note_on_c, 0, 74, 0
2, 2040, Note_on_c, 0, 69, 102
2, 2040, Lyric_t, "zen, "
2, 2159, Note_on_c, 0, 69, 0
2, 2400, Note_on_c, 0, 79, 124
2, 2400, Lyric_t, "Tod "
2, 2639, Note_on_c, 0, 79, 0
2, 2760, Note_on_c, 0, 76, 103
2, 2760, Lyric_t, "und "
2, 2819, Note_on_c, 0, 76, 0
2, 2820, Note_on_c, 0, 73, 101
